PLATFORM 0: (unicode)
LANGUAGE (windows) 1052: sq
LANGUAGE (windows) 1156: gsw
LANGUAGE (windows) 1118: am
LANGUAGE (windows) 5121: ar-dz
LANGUAGE (windows) 15361: ar-bh
LANGUAGE (windows) 3073: ar
LANGUAGE (windows) 2049: ar-iq
LANGUAGE (windows) 11265: ar-jo
LANGUAGE (windows) 13313: ar-kw
LANGUAGE (windows) 12289: ar-lb
LANGUAGE (windows) 4097: ar-ly
LANGUAGE (windows) 6145: ary
LANGUAGE (windows) 8193: ar-om
LANGUAGE (windows) 16385: ar-qa
LANGUAGE (windows) 1025: ar-sa
LANGUAGE (windows) 10241: ar-sy
LANGUAGE (windows) 7169: aeb
LANGUAGE (windows) 14337: ar-ae
LANGUAGE (windows) 9217: ar-ye
LANGUAGE (windows) 1067: hy
LANGUAGE (windows) 1101: as
LANGUAGE (windows) 2092: az-cyrl
LANGUAGE (windows) 1068: az
LANGUAGE (windows) 1133: ba
LANGUAGE (windows) 1069: eu
LANGUAGE (windows) 1059: be
LANGUAGE (windows) 2117: bn
LANGUAGE (windows) 1093: bn-in
LANGUAGE (windows) 8218: bs-cyrl
LANGUAGE (windows) 5146: bs
LANGUAGE (windows) 1150: br
LANGUAGE (windows) 1026: bg
LANGUAGE (windows) 1027: ca
LANGUAGE (windows) 3076: zh-hk
LANGUAGE (windows) 5124: zh-mo
LANGUAGE (windows) 2052: zh
LANGUAGE (windows) 4100: zh-sg
LANGUAGE (windows) 1028: zh-tw
LANGUAGE (windows) 1155: co
LANGUAGE (windows) 1050: hr
LANGUAGE (windows) 4122: hr-ba
LANGUAGE (windows) 1029: cs
LANGUAGE (windows) 1030: da
LANGUAGE (windows) 1164: prs
LANGUAGE (windows) 1125: dv
LANGUAGE (windows) 2067: nl-be
LANGUAGE (windows) 1043: nl
LANGUAGE (windows) 3081: en-au
LANGUAGE (windows) 10249: en-bz
LANGUAGE (windows) 4105: en-ca
LANGUAGE (windows) 9225: en-029
LANGUAGE (windows) 16393: en-in
LANGUAGE (windows) 6153: en-ie
LANGUAGE (windows) 8201: en-jm
LANGUAGE (windows) 17417: en-my
LANGUAGE (windows) 5129: en-nz
LANGUAGE (windows) 13321: en-ph
LANGUAGE (windows) 18441: en-sg
LANGUAGE (windows) 7177: en-za
LANGUAGE (windows) 11273: en-tt
LANGUAGE (windows) 2057: en-gb
LANGUAGE (windows) 1033: en
LANGUAGE (windows) 12297: en-zw
LANGUAGE (windows) 1061: et
LANGUAGE (windows) 1080: fo
LANGUAGE (windows) 1124: fil
LANGUAGE (windows) 1035: fi
LANGUAGE (windows) 2060: fr-be
LANGUAGE (windows) 3084: fr-ca
LANGUAGE (windows) 1036: fr
LANGUAGE (windows) 5132: fr-lu
LANGUAGE (windows) 6156: fr-mc
LANGUAGE (windows) 4108: fr-ch
LANGUAGE (windows) 1122: fy
LANGUAGE (windows) 1110: gl
LANGUAGE (windows) 1079: ka
LANGUAGE (windows) 3079: de-at
LANGUAGE (windows) 1031: de
LANGUAGE (windows) 5127: de-li
LANGUAGE (windows) 4103: de-lu
LANGUAGE (windows) 2055: de-ch
LANGUAGE (windows) 1032: el
LANGUAGE (windows) 1135: kl
LANGUAGE (windows) 1095: gu
LANGUAGE (windows) 1128: ha
LANGUAGE (windows) 1037: he
LANGUAGE (windows) 1081: hi
LANGUAGE (windows) 1038: hu
LANGUAGE (windows) 1039: is
LANGUAGE (windows) 1136: ig
LANGUAGE (windows) 1057: id
LANGUAGE (windows) 1117: iu
LANGUAGE (windows) 2141: iu-latn
LANGUAGE (windows) 2108: ga
LANGUAGE (windows) 1076: xh
LANGUAGE (windows) 1077: zu
LANGUAGE (windows) 1040: it
LANGUAGE (windows) 2064: it-ch
LANGUAGE (windows) 1041: ja
LANGUAGE (windows) 1099: kn
LANGUAGE (windows) 1087: kk
LANGUAGE (windows) 1107: km
LANGUAGE (windows) 1158: quc
LANGUAGE (windows) 1159: rw
LANGUAGE (windows) 1089: sw
LANGUAGE (windows) 1111: kok
LANGUAGE (windows) 1042: ko
LANGUAGE (windows) 1088: ky
LANGUAGE (windows) 1108: lo
LANGUAGE (windows) 1062: lv
LANGUAGE (windows) 1063: lt
LANGUAGE (windows) 2094: dsb
LANGUAGE (windows) 1134: lb
LANGUAGE (windows) 1071: mk
LANGUAGE (windows) 2110: ms-bn
LANGUAGE (windows) 1086: ms
LANGUAGE (windows) 1100: ml
LANGUAGE (windows) 1082: mt
LANGUAGE (windows) 1153: mi
LANGUAGE (windows) 1146: arn
LANGUAGE (windows) 1102: mr
LANGUAGE (windows) 1148: moh
LANGUAGE (windows) 1104: mn
LANGUAGE (windows) 2128: mn-cn
LANGUAGE (windows) 1121: ne
LANGUAGE (windows) 1044: nb
LANGUAGE (windows) 2068: nn
LANGUAGE (windows) 1154: oc
LANGUAGE (windows) 1096: or
